Godina,Grad,Sport,Disciplina,Takmicar,Zemlja,Pol,Dogadjaj,Medalja
"1928,St.Moritz,Bobsleigh,Bobsleigh,""NÄGLE, Hanns"",GER,Muskarac,Five-Man,Bronza"
"1928,St.Moritz,Bobsleigh,Bobsleigh,""FISKE, William"",USA,Muskarac,Five-Man,Zlato"
"1928,St.Moritz,Bobsleigh,Bobsleigh,""GRAY, Clifford Barton"",USA,Muskarac,Five-Man,Zlato"
"1928,St.Moritz,Bobsleigh,Bobsleigh,""MASON, Geoffrey Travers"",USA,Muskarac,Five-Man,Zlato"
"1928,St.Moritz,Bobsleigh,Bobsleigh,""PARKE, Richard"",USA,Muskarac,Five-Man,Zlato"
"1928,St.Moritz,Bobsleigh,Bobsleigh,""TUCKER, Nion"",USA,Muskarac,Five-Man,Zlato"
"1928,St.Moritz,Bobsleigh,Bobsleigh,""DOE, Thomas"",USA,Muskarac,Five-Man,Srebro"
"1928,St.Moritz,Bobsleigh,Bobsleigh,""GRANGER, David"",USA,Muskarac,Five-Man,Srebro"
"1928,St.Moritz,Bobsleigh,Bobsleigh,""HEATON, Jennison"",USA,Muskarac,Five-Man,Srebro"
"1928,St.Moritz,Bobsleigh,Bobsleigh,""HINE, Lyman"",USA,Muskarac,Five-Man,Srebro"
"1928,St.Moritz,Bobsleigh,Bobsleigh,""O'BRIEN, Jay James"",USA,Muskarac,Five-Man,Srebro"
"1928,St.Moritz,Bobsleigh,Skeleton,""NORTHESK, David, Earl of"",GBR,Muskarac,Individual,Bronza"
"1928,St.Moritz,Bobsleigh,Skeleton,""HEATON, Jennison"",USA,Muskarac,Individual,Zlato"
"1928,St.Moritz,Bobsleigh,Skeleton,""HEATON, John"",USA,Muskarac,Individual,Srebro"
"1928,St.Moritz,Ice Hockey,Ice Hockey,""ANDREOSSI, Giannin"",SUI,Muskarac,Ice Hockey,Bronza"
"1928,St.Moritz,Ice Hockey,Ice Hockey,""ANDREOSSI, Mezzi"",SUI,Muskarac,Ice Hockey,Bronza"
"1928,St.Moritz,Ice Hockey,Ice Hockey,""BREITER, Robert"",SUI,Muskarac,Ice Hockey,Bronza"
"1928,St.Moritz,Ice Hockey,Ice Hockey,""DUFOUR, Louis"",SUI,Muskarac,Ice Hockey,Bronza"
"1928,St.Moritz,Ice Hockey,Ice Hockey,""FASEL, Charles"",SUI,Muskarac,Ice Hockey,Bronza"
"1928,St.Moritz,Ice Hockey,Ice Hockey,""GEROMINI, Albert"",SUI,Muskarac,Ice Hockey,Bronza"
"1928,St.Moritz,Ice Hockey,Ice Hockey,""KRAATZ, Fritz"",SUI,Muskarac,Ice Hockey,Bronza"
"1928,St.Moritz,Ice Hockey,Ice Hockey,""MARTIGNONI, Arnold"",SUI,Muskarac,Ice Hockey,Bronza"
"1928,St.Moritz,Ice Hockey,Ice Hockey,""MuskaracG, Heini"",SUI,Muskarac,Ice Hockey,Bronza"
"1928,St.Moritz,Ice Hockey,Ice Hockey,""MOROSANI, Anton"",SUI,Muskarac,Ice Hockey,Bronza"
"1928,St.Moritz,Ice Hockey,Ice Hockey,""RÜEDI, Luzius"",SUI,Muskarac,Ice Hockey,Bronza"
"1928,St.Moritz,Ice Hockey,Ice Hockey,""TORRIANI, Richard"",SUI,Muskarac,Ice Hockey,Bronza"
"1928,St.Moritz,Ice Hockey,Ice Hockey,""DELAHAY, Charles"",CAN,Muskarac,Ice Hockey,Zlato"
"1928,St.Moritz,Ice Hockey,Ice Hockey,""FISHER, Franlyn Wood"",CAN,Muskarac,Ice Hockey,Zlato"
"1928,St.Moritz,Ice Hockey,Ice Hockey,""HUDSON, Henry Louis"",CAN,Muskarac,Ice Hockey,Zlato"
"1928,St.Moritz,Ice Hockey,Ice Hockey,""MUELLER, Norbert Edward"",CAN,Muskarac,Ice Hockey,Zlato"
"1928,St.Moritz,Ice Hockey,Ice Hockey,""PLAXTON, Herbert Alfred"",CAN,Muskarac,Ice Hockey,Zlato"
"1928,St.Moritz,Ice Hockey,Ice Hockey,""PLAXTON, Hugh John"",CAN,Muskarac,Ice Hockey,Zlato"
"1928,St.Moritz,Ice Hockey,Ice Hockey,""PLAXTON, Rogers Hayward"",CAN,Muskarac,Ice Hockey,Zlato"
"1928,St.Moritz,Ice Hockey,Ice Hockey,""PORTER, John Chester"",CAN,Muskarac,Ice Hockey,Zlato"
"1928,St.Moritz,Ice Hockey,Ice Hockey,""SULLIVAN, Frank Gerald"",CAN,Muskarac,Ice Hockey,Zlato"
